data_generacji,mieszkania_wojewodztwo,mieszkania_region,mieszkania_rok,mieszkania_ilosc
2025-01-19 13:20:29.073263+00:00,MAŁOPOLSKIE,miasto,2003,570472
2025-01-19 13:20:29.073263+00:00,ŚLĄSKIE,miasto,2003,1359750
2025-01-19 13:20:29.073263+00:00,LUBUSKIE,miasto,2003,225146
2025-01-19 13:20:29.073263+00:00,WIELKOPOLSKIE,miasto,2003,653984
2025-01-19 13:20:29.073263+00:00,ZACHODNIOPOMORSKIE,miasto,2003,414006
2025-01-19 13:20:29.073263+00:00,DOLNOŚLĄSKIE,miasto,2003,750640
2025-01-19 13:20:29.073263+00:00,OPOLSKIE,miasto,2003,191504
2025-01-19 13:20:29.073263+00:00,KUJAWSKO-POMORSKIE,miasto,2003,450281
2025-01-19 13:20:29.073263+00:00,POMORSKIE,miasto,2003,519554
2025-01-19 13:20:29.073263+00:00,WARMIŃSKO-MAZURSKIE,miasto,2003,289473
2025-01-19 13:20:29.073263+00:00,ŁÓDZKIE,miasto,2003,659190
2025-01-19 13:20:29.073263+00:00,ŚWIĘTOKRZYSKIE,miasto,2003,207409
2025-01-19 13:20:29.073263+00:00,LUBELSKIE,miasto,2003,347785
2025-01-19 13:20:29.073263+00:00,PODKARPACKIE,miasto,2003,271058
2025-01-19 13:20:29.073263+00:00,PODLASKIE,miasto,2003,244422
2025-01-19 13:20:29.073263+00:00,MAZOWIECKIE,miasto,2003,1295742
2025-01-19 13:20:31.182846+00:00,MAŁOPOLSKIE,miasto,2004,576285
2025-01-19 13:20:31.182846+00:00,ŚLĄSKIE,miasto,2004,1364934
2025-01-19 13:20:31.182846+00:00,LUBUSKIE,miasto,2004,226556
2025-01-19 13:20:31.182846+00:00,WIELKOPOLSKIE,miasto,2004,659919
2025-01-19 13:20:31.182846+00:00,ZACHODNIOPOMORSKIE,miasto,2004,418420
2025-01-19 13:20:31.182846+00:00,DOLNOŚLĄSKIE,miasto,2004,754045
2025-01-19 13:20:31.182846+00:00,OPOLSKIE,miasto,2004,192849
2025-01-19 13:20:31.182846+00:00,KUJAWSKO-POMORSKIE,miasto,2004,452795
2025-01-19 13:20:31.182846+00:00,POMORSKIE,miasto,2004,524895
2025-01-19 13:20:31.182846+00:00,WARMIŃSKO-MAZURSKIE,miasto,2004,292028
2025-01-19 13:20:31.182846+00:00,ŁÓDZKIE,miasto,2004,661269
2025-01-19 13:20:31.182846+00:00,ŚWIĘTOKRZYSKIE,miasto,2004,208421
2025-01-19 13:20:31.182846+00:00,LUBELSKIE,miasto,2004,349749
2025-01-19 13:20:31.182846+00:00,PODKARPACKIE,miasto,2004,272691
2025-01-19 13:20:31.182846+00:00,PODLASKIE,miasto,2004,246601
2025-01-19 13:20:31.182846+00:00,MAZOWIECKIE,miasto,2004,1311614
2025-01-19 13:25:45.012287+00:00,MAŁOPOLSKIE,wieś,2005,437736
2025-01-19 13:25:45.012287+00:00,ŚLĄSKIE,wieś,2005,304846
2025-01-19 13:25:45.012287+00:00,LUBUSKIE,wieś,2005,104986
2025-01-19 13:25:45.012287+00:00,WIELKOPOLSKIE,wieś,2005,376144
2025-01-19 13:25:45.012287+00:00,ZACHODNIOPOMORSKIE,wieś,2005,153317
2025-01-19 13:25:45.012287+00:00,DOLNOŚLĄSKIE,wieś,2005,250855
2025-01-19 13:25:45.012287+00:00,OPOLSKIE,wieś,2005,140721
2025-01-19 13:25:45.012287+00:00,KUJAWSKO-POMORSKIE,wieś,2005,215419
2025-01-19 13:25:45.012287+00:00,POMORSKIE,wieś,2005,188869
2025-01-19 13:25:45.012287+00:00,WARMIŃSKO-MAZURSKIE,wieś,2005,162880
2025-01-19 13:25:45.012287+00:00,ŁÓDZKIE,wieś,2005,284791
2025-01-19 13:25:45.012287+00:00,ŚWIĘTOKRZYSKIE,wieś,2005,204782
2025-01-19 13:25:45.012287+00:00,LUBELSKIE,wieś,2005,348089
2025-01-19 13:25:45.012287+00:00,PODKARPACKIE,wieś,2005,327360
2025-01-19 13:25:45.012287+00:00,PODLASKIE,wieś,2005,150804
2025-01-19 13:25:45.012287+00:00,MAZOWIECKIE,wieś,2005,544336
2025-01-19 13:25:47.183315+00:00,MAŁOPOLSKIE,wieś,2006,440474
2025-01-19 13:25:47.183315+00:00,ŚLĄSKIE,wieś,2006,307031
2025-01-19 13:25:47.183315+00:00,LUBUSKIE,wieś,2006,105712
2025-01-19 13:25:47.183315+00:00,WIELKOPOLSKIE,wieś,2006,379550
2025-01-19 13:25:47.183315+00:00,ZACHODNIOPOMORSKIE,wieś,2006,154600
2025-01-19 13:25:47.183315+00:00,DOLNOŚLĄSKIE,wieś,2006,252811
2025-01-19 13:25:47.183315+00:00,OPOLSKIE,wieś,2006,141144
2025-01-19 13:25:47.183315+00:00,KUJAWSKO-POMORSKIE,wieś,2006,216961
2025-01-19 13:25:47.183315+00:00,POMORSKIE,wieś,2006,190524
2025-01-19 13:25:47.183315+00:00,WARMIŃSKO-MAZURSKIE,wieś,2006,163884
2025-01-19 13:25:47.183315+00:00,ŁÓDZKIE,wieś,2006,284995
2025-01-19 13:25:47.183315+00:00,ŚWIĘTOKRZYSKIE,wieś,2006,205434
2025-01-19 13:25:47.183315+00:00,LUBELSKIE,wieś,2006,349713
2025-01-19 13:25:47.183315+00:00,PODKARPACKIE,wieś,2006,327947
2025-01-19 13:25:47.183315+00:00,PODLASKIE,wieś,2006,150628
2025-01-19 13:25:47.183315+00:00,MAZOWIECKIE,wieś,2006,549316
2025-01-19 13:25:49.435044+00:00,MAŁOPOLSKIE,wieś,2007,443923
2025-01-19 13:25:49.435044+00:00,ŚLĄSKIE,wieś,2007,310258
2025-01-19 13:25:49.435044+00:00,LUBUSKIE,wieś,2007,106597
2025-01-19 13:25:49.435044+00:00,WIELKOPOLSKIE,wieś,2007,383973
2025-01-19 13:25:49.435044+00:00,ZACHODNIOPOMORSKIE,wieś,2007,156222
2025-01-19 13:25:49.435044+00:00,DOLNOŚLĄSKIE,wieś,2007,255057
2025-01-19 13:25:49.435044+00:00,OPOLSKIE,wieś,2007,141823
2025-01-19 13:25:49.435044+00:00,KUJAWSKO-POMORSKIE,wieś,2007,218514
2025-01-19 13:25:49.435044+00:00,POMORSKIE,wieś,2007,192914
2025-01-19 13:25:49.435044+00:00,WARMIŃSKO-MAZURSKIE,wieś,2007,165025
2025-01-19 13:25:49.435044+00:00,ŁÓDZKIE,wieś,2007,287091
2025-01-19 13:25:49.435044+00:00,ŚWIĘTOKRZYSKIE,wieś,2007,205443
2025-01-19 13:25:49.435044+00:00,LUBELSKIE,wieś,2007,351877
2025-01-19 13:25:49.435044+00:00,PODKARPACKIE,wieś,2007,329735
2025-01-19 13:25:49.435044+00:00,PODLASKIE,wieś,2007,151532
2025-01-19 13:25:49.435044+00:00,MAZOWIECKIE,wieś,2007,555202
2025-01-19 13:25:51.602957+00:00,MAŁOPOLSKIE,wieś,2008,449859
2025-01-19 13:25:51.602957+00:00,ŚLĄSKIE,wieś,2008,314037
2025-01-19 13:25:51.602957+00:00,LUBUSKIE,wieś,2008,107869
2025-01-19 13:25:51.602957+00:00,WIELKOPOLSKIE,wieś,2008,390821
2025-01-19 13:25:51.602957+00:00,ZACHODNIOPOMORSKIE,wieś,2008,157914
2025-01-19 13:25:51.602957+00:00,DOLNOŚLĄSKIE,wieś,2008,258966
2025-01-19 13:25:51.602957+00:00,OPOLSKIE,wieś,2008,142736
2025-01-19 13:25:51.602957+00:00,KUJAWSKO-POMORSKIE,wieś,2008,221251
2025-01-19 13:25:51.602957+00:00,POMORSKIE,wieś,2008,196212
2025-01-19 13:25:51.602957+00:00,WARMIŃSKO-MAZURSKIE,wieś,2008,166977
2025-01-19 13:25:51.602957+00:00,ŁÓDZKIE,wieś,2008,289614
2025-01-19 13:25:51.602957+00:00,ŚWIĘTOKRZYSKIE,wieś,2008,206767
2025-01-19 13:25:51.602957+00:00,LUBELSKIE,wieś,2008,354673
2025-01-19 13:25:51.602957+00:00,PODKARPACKIE,wieś,2008,329445
2025-01-19 13:25:51.602957+00:00,PODLASKIE,wieś,2008,153009
2025-01-19 13:25:51.602957+00:00,MAZOWIECKIE,wieś,2008,563417
2025-01-19 13:25:53.773032+00:00,MAŁOPOLSKIE,wieś,2009,453314
2025-01-19 13:25:53.773032+00:00,ŚLĄSKIE,wieś,2009,316889
2025-01-19 13:25:53.773032+00:00,LUBUSKIE,wieś,2009,109126
2025-01-19 13:25:53.773032+00:00,WIELKOPOLSKIE,wieś,2009,396547
2025-01-19 13:25:53.773032+00:00,ZACHODNIOPOMORSKIE,wieś,2009,159913
2025-01-19 13:25:53.773032+00:00,DOLNOŚLĄSKIE,wieś,2009,262819
2025-01-19 13:25:53.773032+00:00,OPOLSKIE,wieś,2009,143310
2025-01-19 13:25:53.773032+00:00,KUJAWSKO-POMORSKIE,wieś,2009,223781
2025-01-19 13:25:53.773032+00:00,POMORSKIE,wieś,2009,200138
2025-01-19 13:25:53.773032+00:00,WARMIŃSKO-MAZURSKIE,wieś,2009,168596
2025-01-19 13:25:53.773032+00:00,ŁÓDZKIE,wieś,2009,291692
2025-01-19 13:25:53.773032+00:00,ŚWIĘTOKRZYSKIE,wieś,2009,207575
2025-01-19 13:25:53.773032+00:00,LUBELSKIE,wieś,2009,356827
2025-01-19 13:25:53.773032+00:00,PODKARPACKIE,wieś,2009,330304
2025-01-19 13:25:53.773032+00:00,PODLASKIE,wieś,2009,151612
2025-01-19 13:25:53.773032+00:00,MAZOWIECKIE,wieś,2009,570825
2025-01-19 13:25:56.048079+00:00,MAŁOPOLSKIE,wieś,2010,448307
2025-01-19 13:25:56.048079+00:00,ŚLĄSKIE,wieś,2010,305122
2025-01-19 13:25:56.048079+00:00,LUBUSKIE,wieś,2010,110093
2025-01-19 13:25:56.048079+00:00,WIELKOPOLSKIE,wieś,2010,407576
2025-01-19 13:25:56.048079+00:00,ZACHODNIOPOMORSKIE,wieś,2010,162352
2025-01-19 13:25:56.048079+00:00,DOLNOŚLĄSKIE,wieś,2010,267918
2025-01-19 13:25:56.048079+00:00,OPOLSKIE,wieś,2010,144130
2025-01-19 13:25:56.048079+00:00,KUJAWSKO-POMORSKIE,wieś,2010,226095
2025-01-19 13:25:56.048079+00:00,POMORSKIE,wieś,2010,204260
2025-01-19 13:25:56.048079+00:00,WARMIŃSKO-MAZURSKIE,wieś,2010,169952
2025-01-19 13:25:56.048079+00:00,ŁÓDZKIE,wieś,2010,292941
2025-01-19 13:25:56.048079+00:00,ŚWIĘTOKRZYSKIE,wieś,2010,210283
2025-01-19 13:25:56.048079+00:00,LUBELSKIE,wieś,2010,363367
2025-01-19 13:25:56.048079+00:00,PODKARPACKIE,wieś,2010,325322
2025-01-19 13:25:56.048079+00:00,PODLASKIE,wieś,2010,156303
2025-01-19 13:25:56.048079+00:00,MAZOWIECKIE,wieś,2010,588625
2025-01-19 13:25:58.314036+00:00,MAŁOPOLSKIE,wieś,2011,452823
2025-01-19 13:25:58.314036+00:00,ŚLĄSKIE,wieś,2011,308016
2025-01-19 13:25:58.314036+00:00,LUBUSKIE,wieś,2011,111156
2025-01-19 13:25:58.314036+00:00,WIELKOPOLSKIE,wieś,2011,413803
2025-01-19 13:25:58.314036+00:00,ZACHODNIOPOMORSKIE,wieś,2011,163341
2025-01-19 13:25:58.314036+00:00,DOLNOŚLĄSKIE,wieś,2011,270877
2025-01-19 13:25:58.314036+00:00,OPOLSKIE,wieś,2011,144795
2025-01-19 13:25:58.314036+00:00,KUJAWSKO-POMORSKIE,wieś,2011,228417
2025-01-19 13:25:58.314036+00:00,POMORSKIE,wieś,2011,207534
2025-01-19 13:25:58.314036+00:00,WARMIŃSKO-MAZURSKIE,wieś,2011,171465
2025-01-19 13:25:58.314036+00:00,ŁÓDZKIE,wieś,2011,294219
2025-01-19 13:25:58.314036+00:00,ŚWIĘTOKRZYSKIE,wieś,2011,211427
2025-01-19 13:25:58.314036+00:00,LUBELSKIE,wieś,2011,365870
2025-01-19 13:25:58.314036+00:00,PODKARPACKIE,wieś,2011,326889
2025-01-19 13:25:58.314036+00:00,PODLASKIE,wieś,2011,156629
2025-01-19 13:25:58.314036+00:00,MAZOWIECKIE,wieś,2011,595021
2025-01-19 13:26:00.464655+00:00,MAŁOPOLSKIE,wieś,2012,458276
2025-01-19 13:26:00.464655+00:00,ŚLĄSKIE,wieś,2012,310897
2025-01-19 13:26:00.464655+00:00,LUBUSKIE,wieś,2012,112291
2025-01-19 13:26:00.464655+00:00,WIELKOPOLSKIE,wieś,2012,420309
2025-01-19 13:26:00.464655+00:00,ZACHODNIOPOMORSKIE,wieś,2012,165229
2025-01-19 13:26:00.464655+00:00,DOLNOŚLĄSKIE,wieś,2012,274438
2025-01-19 13:26:00.464655+00:00,OPOLSKIE,wieś,2012,145540
2025-01-19 13:26:00.464655+00:00,KUJAWSKO-POMORSKIE,wieś,2012,231032
2025-01-19 13:26:00.464655+00:00,POMORSKIE,wieś,2012,211291
2025-01-19 13:26:00.464655+00:00,WARMIŃSKO-MAZURSKIE,wieś,2012,173294
2025-01-19 13:26:00.464655+00:00,ŁÓDZKIE,wieś,2012,296535
