data_generacji,data_waluty,zloto_cena
2025-01-04 22:48:30.049451+00:00,2019-08-06,182.5
2025-01-04 22:49:12.205749+00:00,2020-06-04,214.5
2025-01-04 22:49:03.460556+00:00,2020-04-01,214.5
2025-01-04 22:52:44.005005+00:00,2022-11-30,254.5
2025-01-04 22:43:26.219499+00:00,2015-08-10,134.75
2025-01-04 22:43:28.712274+00:00,2015-08-28,134.75
2025-01-04 22:42:59.522717+00:00,2015-02-02,150.75
2025-01-04 22:47:27.520782+00:00,2018-05-09,150.75
2025-01-04 22:53:31.118828+00:00,2023-10-23,269.75
2025-01-04 22:42:18.196527+00:00,2014-04-14,127.5
2025-01-04 22:48:10.336435+00:00,2019-03-19,159.0
2025-01-04 22:48:16.186930+00:00,2019-04-29,159.0
2025-01-04 22:48:47.488166+00:00,2019-12-06,183.0
2025-01-04 22:48:37.692905+00:00,2019-10-01,191.0
2025-01-04 22:43:11.211276+00:00,2015-04-22,143.25
2025-01-04 22:44:40.828775+00:00,2017-01-25,159.25
2025-01-04 22:43:11.058437+00:00,2015-04-21,143.5
2025-01-04 22:44:04.896602+00:00,2016-05-12,159.5
2025-01-04 22:49:20.872253+00:00,2020-08-07,247.5
2025-01-04 22:47:39.123970+00:00,2018-08-03,143.75
2025-01-04 22:50:13.971026+00:00,2021-08-11,215.75
2025-01-04 22:44:57.792611+00:00,2017-06-01,152.07
2025-01-04 22:53:50.302754+00:00,2024-03-13,272.14
2025-01-04 22:52:03.507830+00:00,2022-02-10,232.32
2025-01-04 22:52:26.176546+00:00,2022-07-20,256.64
2025-01-04 22:43:12.739743+00:00,2015-05-04,136.57
2025-01-04 22:44:11.721886+00:00,2016-06-29,168.57
2025-01-04 22:50:02.924391+00:00,2021-05-28,224.57
2025-01-04 22:53:28.423825+00:00,2023-10-03,257.14
2025-01-04 22:44:08.077194+00:00,2016-06-03,152.82
2025-01-04 22:49:24.441453+00:00,2020-09-03,232.82
2025-01-04 22:52:45.336728+00:00,2022-12-09,257.64
2025-01-04 22:42:33.903567+00:00,2014-07-30,129.07
2025-01-04 22:47:14.393904+00:00,2018-02-15,145.07
2025-01-04 22:44:01.778813+00:00,2016-04-20,153.07
2025-01-04 22:42:43.476437+00:00,2014-10-09,129.32
2025-01-04 22:41:13.568717+00:00,2013-08-29,145.32
2025-01-04 22:44:50.158366+00:00,2017-04-05,161.32
2025-01-04 22:48:59.039792+00:00,2020-02-28,209.32
2025-01-04 22:53:35.978997+00:00,2023-11-29,258.89
2025-01-04 22:42:10.844111+00:00,2014-02-27,129.57
2025-01-04 22:53:41.629305+00:00,2024-01-10,259.14
2025-01-04 22:42:10.581027+00:00,2014-02-25,129.82
2025-01-04 22:44:43.907994+00:00,2017-02-17,161.82
2025-01-04 22:53:48.333217+00:00,2024-02-28,259.64
2025-01-04 22:45:24.258977+00:00,2017-11-30,146.07
2025-01-04 22:52:11.757059+00:00,2022-04-04,260.39
2025-01-04 22:45:04.599581+00:00,2017-07-17,146.32
2025-01-04 22:50:19.244438+00:00,2021-09-17,218.32
2025-01-04 22:52:56.792244+00:00,2023-03-01,260.89
2025-01-04 22:53:01.679112+00:00,2023-04-05,276.89
2025-01-04 22:41:01.543054+00:00,2013-06-07,146.57
2025-01-04 22:53:47.160120+00:00,2024-02-20,261.14
2025-01-04 22:54:14.300454+00:00,2024-08-28,309.14
2025-01-04 22:54:22.961846+00:00,2024-10-31,357.14
2025-01-04 22:42:38.618855+00:00,2014-09-03,130.82
2025-01-04 22:40:50.075345+00:00,2013-03-14,162.82
2025-01-04 22:44:41.844579+00:00,2017-02-02,155.07
2025-01-04 22:49:09.985880+00:00,2020-05-18,235.07
2025-01-04 22:47:46.582003+00:00,2018-09-28,139.32
2025-01-04 22:44:37.285632+00:00,2016-12-30,155.32
2025-01-04 22:49:07.469473+00:00,2020-04-29,227.57
2025-01-04 22:52:14.663933+00:00,2022-04-26,263.14
2025-01-04 22:43:59.942078+00:00,2016-04-06,147.82
2025-01-04 22:52:50.167099+00:00,2023-01-13,263.64
2025-01-04 22:53:25.946830+00:00,2023-09-15,263.64
2025-01-04 22:48:26.593984+00:00,2019-07-12,172.07
2025-01-04 22:53:30.139174+00:00,2023-10-16,264.14
2025-01-04 22:54:30.175587+00:00,2024-12-24,344.14
2025-01-04 22:53:00.451201+00:00,2023-03-27,280.39
2025-01-04 22:54:11.375860+00:00,2024-08-14,312.39
2025-01-04 22:42:45.543028+00:00,2014-10-24,132.32
2025-01-04 22:48:15.570654+00:00,2019-04-25,156.32
2025-01-04 22:48:06.546382+00:00,2019-02-20,164.32
2025-01-04 22:52:58.439718+00:00,2023-03-13,264.89
2025-01-04 22:53:33.044115+00:00,2023-11-07,264.89
2025-01-04 22:54:01.799609+00:00,2024-06-04,296.89
2025-01-04 22:41:22.421373+00:00,2013-10-31,132.57
2025-01-04 22:47:19.973474+00:00,2018-03-26,148.57
2025-01-04 22:45:18.229928+00:00,2017-10-18,148.57
2025-01-04 22:52:05.331853+00:00,2022-02-24,244.57
2025-01-04 22:54:01.652068+00:00,2024-06-03,297.39
2025-01-04 22:42:23.494193+00:00,2014-05-22,126.41
2025-01-04 22:43:35.916421+00:00,2015-10-20,140.82
2025-01-04 22:44:33.552310+00:00,2016-12-02,156.82
2025-01-04 22:42:45.403812+00:00,2014-10-23,133.07
2025-01-04 22:43:18.518050+00:00,2015-06-15,141.07
2025-01-04 22:40:50.758228+00:00,2013-03-19,165.07
2025-01-04 22:48:35.620932+00:00,2019-09-16,189.07
2025-01-04 22:49:25.453192+00:00,2020-09-10,237.07
2025-01-04 22:53:05.922413+00:00,2023-04-26,266.14
2025-01-04 22:42:18.608247+00:00,2014-04-17,126.66
2025-01-04 22:42:47.119072+00:00,2014-11-05,126.66
2025-01-04 22:49:00.008404+00:00,2020-03-06,205.32
2025-01-04 22:50:33.363646+00:00,2021-12-28,237.32
2025-01-04 22:42:55.741784+00:00,2015-01-08,141.57
2025-01-04 22:45:08.733320+00:00,2017-08-16,149.57
2025-01-04 22:45:20.494849+00:00,2017-11-03,149.57
2025-01-04 22:44:53.785017+00:00,2017-05-02,157.57
2025-01-04 22:52:25.331257+00:00,2022-07-14,267.39
2025-01-04 22:42:23.128439+00:00,2014-05-19,126.91
2025-01-04 22:41:05.823321+00:00,2013-07-05,133.82
2025-01-04 22:41:16.405342+00:00,2013-09-17,133.82
2025-01-04 22:43:21.119130+00:00,2015-07-03,141.82
2025-01-04 22:45:09.018158+00:00,2017-08-18,149.82
2025-01-04 22:44:38.946256+00:00,2017-01-11,157.82
2025-01-04 22:48:04.476512+00:00,2019-02-05,157.82
2025-01-04 22:48:28.078877+00:00,2019-07-23,173.82
2025-01-04 22:53:14.831074+00:00,2023-06-26,253.82
2025-01-04 22:43:31.494999+00:00,2015-09-17,134.07
2025-01-04 22:45:10.849474+00:00,2017-08-24,150.07
2025-01-04 22:44:09.452554+00:00,2016-06-13,158.07
2025-01-04 22:48:16.634905+00:00,2019-05-02,158.07
2025-01-04 22:50:21.693141+00:00,2021-10-05,222.07
2025-01-04 22:52:43.712765+00:00,2022-11-28,254.07
2025-01-04 22:53:27.264881+00:00,2023-09-25,268.14
2025-01-04 22:53:32.892187+00:00,2023-11-06,268.39
2025-01-04 22:43:37.713911+00:00,2015-11-02,142.32
2025-01-04 22:48:10.629855+00:00,2019-03-21,158.32
2025-01-04 22:48:13.195215+00:00,2019-04-08,158.32
2025-01-04 22:44:49.243497+00:00,2017-03-29,158.32
2025-01-04 22:44:10.092166+00:00,2016-06-17,166.32
2025-01-04 22:48:48.267331+00:00,2019-12-12,182.32
2025-01-04 22:48:35.911442+00:00,2019-09-18,190.32
2025-01-04 22:50:05.074600+00:00,2021-06-14,222.32
2025-01-04 22:42:55.886485+00:00,2015-01-09,142.57
2025-01-04 22:48:53.583455+00:00,2020-01-20,190.57
2025-01-04 22:54:08.845968+00:00,2024-07-26,301.14
2025-01-04 22:41:31.452555+00:00,2014-01-03,119.41
2025-01-04 22:44:01.646190+00:00,2016-04-19,150.82
2025-01-04 22:44:17.830015+00:00,2016-08-12,166.82
2025-01-04 22:49:40.305298+00:00,2020-12-23,222.82
2025-01-04 22:43:26.795022+00:00,2015-08-14,135.07
2025-01-04 22:43:02.421559+00:00,2015-02-18,143.07
2025-01-04 22:48:11.701443+00:00,2019-03-29,159.07
2025-01-04 22:54:08.425453+00:00,2024-07-23,302.39
2025-01-04 22:43:22.084469+00:00,2015-07-10,143.32
2025-01-04 22:48:10.140851+00:00,2019-03-18,159.32
2025-01-04 22:49:09.480268+00:00,2020-05-14,231.32
2025-01-04 22:52:15.033385+00:00,2022-04-29,270.89
2025-01-04 22:44:33.278935+00:00,2016-11-30,159.57
2025-01-04 22:49:59.423510+00:00,2021-05-10,223.57
2025-01-04 22:45:34.105239+00:00,2018-02-02,143.82
2025-01-04 22:52:19.266856+00:00,2022-05-30,255.82
2025-01-04 22:53:08.196782+00:00,2023-05-11,272.03
2025-01-04 22:53:01.001849+00:00,2023-03-31,272.03
2025-01-04 22:41:07.257186+00:00,2013-07-16,136.14
2025-01-04 22:43:06.650562+00:00,2015-03-19,144.14
2025-01-04 22:45:25.524748+00:00,2017-12-08,144.14
2025-01-04 22:44:03.440982+00:00,2016-05-02,160.14
2025-01-04 22:50:21.550664+00:00,2021-10-04,224.14
2025-01-04 22:52:58.867098+00:00,2023-03-16,272.28
2025-01-04 22:40:58.639715+00:00,2013-05-17,144.39
2025-01-04 22:50:11.223991+00:00,2021-07-29,224.39
2025-01-04 22:49:21.759794+00:00,2020-08-14,232.39
