data_generacji,kryptowaluta_data,kryptowaluta_cena,kryptowaluta_waluta,kryptowaluta_nazwa,kryptowaluta_kod
2023-12-12 10:00:19+00:00,2023-12-12,943.18,PLN,BITCOIN CASH,bch
2024-05-26 10:05:34+00:00,2024-05-26,1934.61,PLN,BITCOIN CASH,bch
2024-07-04 10:00:04+00:00,2024-07-04,1414.57,PLN,BITCOIN CASH,bch
2024-08-04 10:04:43+00:00,2024-08-04,1386.17,PLN,BITCOIN CASH,bch
2024-08-16 10:01:39+00:00,2024-08-16,1325.57,PLN,BITCOIN CASH,bch
2024-06-22 10:00:04+00:00,2024-06-22,1561.5,PLN,BITCOIN CASH,bch
2024-01-07 10:00:02+00:00,2024-01-07,941.5,PLN,BITCOIN CASH,bch
2024-10-24 10:00:03+00:00,2024-10-24,1423.75,PLN,BITCOIN CASH,bch
2023-11-21 10:00:02+00:00,2023-11-21,912.67,PLN,BITCOIN CASH,bch
2023-09-30 10:00:02+00:00,2023-09-30,1030.26,PLN,BITCOIN CASH,bch
2023-12-24 10:00:02+00:00,2023-12-24,911.1,PLN,BITCOIN CASH,bch
2023-10-06 10:00:02+00:00,2023-10-06,1006.28,PLN,BITCOIN CASH,bch
2024-07-28 10:00:22+00:00,2024-07-28,1555.75,PLN,BITCOIN CASH,bch
2024-02-15 10:00:02+00:00,2024-02-15,1093.61,PLN,BITCOIN CASH,bch
2024-12-20 10:00:02+00:00,2024-12-20,1715.38,PLN,BITCOIN CASH,bch
2024-03-10 10:01:20+00:00,2024-03-10,1720.88,PLN,BITCOIN CASH,bch
2024-04-28 10:00:03+00:00,2024-04-28,1946.16,PLN,BITCOIN CASH,bch
2024-08-14 10:00:04+00:00,2024-08-14,1345.15,PLN,BITCOIN CASH,bch
2024-08-21 10:03:35+00:00,2024-08-21,1308.78,PLN,BITCOIN CASH,bch
2024-02-11 10:05:07+00:00,2024-02-11,1082.05,PLN,BITCOIN CASH,bch
2024-03-24 10:01:19+00:00,2024-03-24,1806.75,PLN,BITCOIN CASH,bch
2024-02-05 10:01:29+00:00,2024-02-05,950.58,PLN,BITCOIN CASH,bch
2024-10-16 10:03:00+00:00,2024-10-16,1402.25,PLN,BITCOIN CASH,bch
2024-11-08 10:00:03+00:00,2024-11-08,1489.08,PLN,BITCOIN CASH,bch
2023-12-18 10:00:03+00:00,2023-12-18,890.21,PLN,BITCOIN CASH,bch
2024-07-16 10:02:30+00:00,2024-07-16,1471.01,PLN,BITCOIN CASH,bch
2024-05-19 10:01:42+00:00,2024-05-19,1929.53,PLN,BITCOIN CASH,bch
2024-12-28 10:02:09+00:00,2024-12-28,1806.1,PLN,BITCOIN CASH,bch
2023-11-17 10:00:02+00:00,2023-11-17,938.44,PLN,BITCOIN CASH,bch
2024-04-17 10:00:03+00:00,2024-04-17,1940.71,PLN,BITCOIN CASH,bch
2023-11-22 10:00:02+00:00,2023-11-22,887.59,PLN,BITCOIN CASH,bch
2024-12-24 10:00:02+00:00,2024-12-24,1890.72,PLN,BITCOIN CASH,bch
2024-06-16 10:01:27+00:00,2024-06-16,1763.15,PLN,BITCOIN CASH,bch
2024-03-22 10:01:36+00:00,2024-03-22,1634.45,PLN,BITCOIN CASH,bch
2024-10-05 10:02:18+00:00,2024-10-05,1273.67,PLN,BITCOIN CASH,bch
2024-11-20 10:00:21+00:00,2024-11-20,1820.14,PLN,BITCOIN CASH,bch
2024-01-11 10:00:02+00:00,2024-01-11,1012.4,PLN,BITCOIN CASH,bch
2024-02-29 10:02:31+00:00,2024-02-29,1258.47,PLN,BITCOIN CASH,bch
2023-11-10 10:03:36+00:00,2023-11-10,989.49,PLN,BITCOIN CASH,bch
2023-11-20 10:04:28+00:00,2023-11-20,918.39,PLN,BITCOIN CASH,bch
2024-10-14 10:02:11+00:00,2024-10-14,1289.89,PLN,BITCOIN CASH,bch
2024-08-24 10:00:06+00:00,2024-08-24,1375.69,PLN,BITCOIN CASH,bch
2023-12-22 10:00:02+00:00,2023-12-22,920.85,PLN,BITCOIN CASH,bch
2023-10-10 10:00:02+00:00,2023-10-10,942.86,PLN,BITCOIN CASH,bch
2024-07-06 10:02:27+00:00,2024-07-06,1292.94,PLN,BITCOIN CASH,bch
2024-01-13 10:02:29+00:00,2024-01-13,1031.28,PLN,BITCOIN CASH,bch
2023-12-29 10:04:09+00:00,2023-12-29,996.14,PLN,BITCOIN CASH,bch
2024-12-13 10:00:03+00:00,2024-12-13,2170.6,PLN,BITCOIN CASH,bch
2024-12-16 10:02:23+00:00,2024-12-16,2166.21,PLN,BITCOIN CASH,bch
2024-03-16 10:00:04+00:00,2024-03-16,1628.01,PLN,BITCOIN CASH,bch
2024-11-11 10:02:11+00:00,2024-11-11,1753.83,PLN,BITCOIN CASH,bch
2023-10-16 10:00:46+00:00,2023-10-16,962.24,PLN,BITCOIN CASH,bch
2024-09-11 10:01:40+00:00,2024-09-11,1265.19,PLN,BITCOIN CASH,bch
2024-12-21 10:02:23+00:00,2024-12-21,1917.32,PLN,BITCOIN CASH,bch
2024-02-28 10:00:03+00:00,2024-02-28,1221.69,PLN,BITCOIN CASH,bch
2024-03-04 10:00:03+00:00,2024-03-04,1848.03,PLN,BITCOIN CASH,bch
2025-01-06 10:00:02+00:00,2025-01-06,1943.44,PLN,BITCOIN CASH,bch
2024-08-28 10:02:12+00:00,2024-08-28,1235.27,PLN,BITCOIN CASH,bch
2025-01-10 10:02:59+00:00,2025-01-10,1797.58,PLN,BITCOIN CASH,bch
2024-12-15 10:01:56+00:00,2024-12-15,2154.14,PLN,BITCOIN CASH,bch
2024-02-09 10:02:31+00:00,2024-02-09,999.37,PLN,BITCOIN CASH,bch
2024-10-13 10:00:03+00:00,2024-10-13,1280.2,PLN,BITCOIN CASH,bch
2023-11-25 10:00:02+00:00,2023-11-25,910.0,PLN,BITCOIN CASH,bch
2023-11-18 10:02:27+00:00,2023-11-18,906.12,PLN,BITCOIN CASH,bch
2023-10-07 10:03:58+00:00,2023-10-07,1000.59,PLN,BITCOIN CASH,bch
2023-12-19 10:00:02+00:00,2023-12-19,906.58,PLN,BITCOIN CASH,bch
2024-10-26 10:02:11+00:00,2024-10-26,1423.57,PLN,BITCOIN CASH,bch
2024-11-22 10:02:17+00:00,2024-11-22,2041.3,PLN,BITCOIN CASH,bch
2023-12-23 10:04:12+00:00,2023-12-23,912.12,PLN,BITCOIN CASH,bch
2024-04-02 10:02:23+00:00,2024-04-02,2422.59,PLN,BITCOIN CASH,bch
2024-04-11 10:00:02+00:00,2024-04-11,2463.16,PLN,BITCOIN CASH,bch
